  Blue Ridge Orthopedic Partners PC | Blue Ridge Orthopedic Partners PC - Equipment - $1,800,000.00 | Commercial | Non-Real Estate | Equipment | 1800000 | 1480000 | 6.95 | 2030-06-30 | 60 | Installment | None | None
  Northgate Multifamily Investors LLC | Northgate Multifamily Investors LLC - Line of Credit - $400,000.00 | Commercial | Non-Real Estate | Line of Credit | 400000 | 240000 | 8.75 | 2028-05-29 | 24 | Revolving Line Of Credit | None | None
  Northgate Multifamily Investors LLC | Northgate Multifamily Investors LLC - Line of Credit - $800,000.00 | Commercial | Real Estate | Line of Credit | 800000 | 520000 | 8 | 2028-06-30 | 24 | Revolving Line Of Credit | None | None
  Northgate Multifamily Investors LLC | Northgate Multifamily Investors LLC - Purchase - $11,400,000.00 | Commercial | Real Estate | Purchase | 11400000 | 11372000 | 6.75 | 2036-06-30 | 120 | Installment | None | None
  Northgate Multifamily Investors LLC | Northgate Multifamily Investors LLC - Purchase - $16,000,000.00 | Commercial | Real Estate | Purchase | 16000000 | 15530000 | 6.55 | 2034-09-20 | 120 | Installment | None | None
  Northgate Multifamily Investors LLC | Northgate Multifamily Investors LLC - Purchase - $22,000,000.00 | Commercial | Real Estate | Purchase | 22000000 | 21250000 | 6.35 | 2034-05-15 | 120 | Installment | None | None
  Prairie Ag Holdings LP | Prairie Ag Holdings LP - Equipment - $500,000.00 | Commercial | Non-Real Estate | Equipment | 500000 | 407000 | 6.95 | 2029-11-20 | 48 | Installment | None | None
  Prairie Ag Holdings LP | Prairie Ag Holdings LP - Equipment - $600,000.00 | Commercial | Non-Real Estate | Equipment | 600000 | 375000 | 7.1 | 2029-08-01 | 60 | Installment | None | None
  Prairie Ag Holdings LP | Prairie Ag Holdings LP - Equipment - $900,000.00 | Commercial | Non-Real Estate | Equipment | 900000 | 675000 | 6.85 | 2030-04-15 | 60 | Installment | None | None
  Prairie Ag Holdings LP | Prairie Ag Holdings LP - Line of Credit - $10,000,000.00 | Commercial | Non-Real Estate | Line of Credit | 10000000 | 6800000 | 8 | 2027-02-08 | 12 | Revolving Line Of Credit | None | None
  Prairie Ag Holdings LP | Prairie Ag Holdings LP - Purchase - $2,200,000.00 | Commercial | Real Estate | Purchase | 2200000 | 2056000 | 6.6 | 2034-03-20 | 120 | Installment | None | None
  Prairie Ag Holdings LP | Prairie Ag Holdings LP - Purchase - $7,800,000.00 | Commercial | Real Estate | Purchase | 7800000 | 6876000 | 6.35 | 2032-06-15 | 120 | Installment | None | None
  Prairie Ag Holdings LP | Prairie Ag Holdings LP - Term - $3,600,000.00 | Commercial | Real Estate | Term | 3600000 | 3325000 | 6.75 | 2033-09-15 | 120 | Installment | None | None
  Sunbelt Hospitality Group Inc | Sunbelt Hospitality Group Inc - Equipment - $1,100,000.00 | Commercial | Non-Real Estate | Equipment | 1100000 | 760000 | 7.4 | 2029-11-29 | 60 | Installment | None | None
  Sunbelt Hospitality Group Inc | Sunbelt Hospitality Group Inc - Equipment - $900,000.00 | Commercial | Non-Real Estate | Equipment | 900000 | 718000 | 7.15 | 2030-06-30 | 60 | Installment | None | None
  Sunbelt Hospitality Group Inc | Sunbelt Hospitality Group Inc - Line of Credit - $2,000,000.00 | Commercial | Non-Real Estate | Line of Credit | 2000000 | 1300000 | 8 | 2027-11-28 | 24 | Revolving Line Of Credit | None | None
  Sunbelt Hospitality Group Inc | Sunbelt Hospitality Group Inc - Purchase - $14,000,000.00 | Commercial | Real Estate | Purchase | 14000000 | 12935000 | 6.8 | 2033-09-29 | 120 | Balloon | None | None
  Sunbelt Hospitality Group Inc | Sunbelt Hospitality Group Inc - Purchase - $18,000,000.00 | Commercial | Real Estate | Purchase | 18000000 | 16940000 | 6.55 | 2034-05-31 | 120 | Balloon | None | None
  Sunbelt Hospitality Group Inc | Sunbelt Hospitality Group Inc - Term - $2,500,000.00 | Commercial | Real Estate | Term | 2500000 | 2090000 | 7.25 | 2032-03-31 | 84 | Installment | None | None
