  Blue Ridge Orthopedic Partners PC | COV-000699 | Debt Service Coverage of Borrower | 1.3 | 1.41 | Compliant | 2026-03-31 | Quarterly | In Progress | Minimum Debt Service Coverage Ratio of 1.30x for the practice on a trailing twelve month basis, tested quarterly. THE Q2 2026 TEST IS OVERDUE: the certificate was due 19 August 2026 and has not been received.
  Northgate Multifamily Investors LLC | COV-000718 | Maintain Accounts | 1.15 | 1.27 | Compliant | 2026-06-30 | Quarterly | Compliant | Cash management trigger: springing lockbox and hard cash management at any property whose quarterly debt service coverage ratio falls below 1.15x, and all operating accounts to be maintained with the bank.
  Piedmont Precision Components, Inc. | COV-000637 | Debt Service Coverage of Borrower | 1.25 | 1.42 | Compliant | 2026-04-30 | Quarterly | Compliant | Minimum Debt Service Coverage Ratio of 1.25x, tested quarterly on a trailing-12-month basis.
  Piedmont Precision Components, Inc. | COV-000638 | Maximum Debt to Worth | 3 | 2.18 | Compliant | 2026-04-30 | Quarterly | Compliant | Maximum Funded Debt to Tangible Net Worth ratio of 3.00x, tested quarterly.
  Piedmont Precision Components, Inc. | COV-000639 | Minimum Liquidity | 5000000 | 8200000 | Compliant | 2026-04-30 | Quarterly | Compliant | Minimum Liquidity of $5,000,000, defined as unrestricted cash plus undrawn revolver availability, tested quarterly.
  Piedmont Precision Components, Inc. | COV-000640 | Fixed Asset Purchases | 7500000 | 1250000 | Compliant | 2026-04-30 | Annually | Compliant | Maximum annual Capital Expenditures of $7,500,000 per fiscal year.
  Prairie Ag Holdings LP | COV-000719 | Minimum Working Capital | 3000000 | 4120000 | Compliant | 2026-06-30 | Semi-Annually | Compliant | Minimum working capital of $3,000,000, tested semi-annually at 30 June and 31 December.
  Prairie Ag Holdings LP | COV-000720 | Minimum Current Ratio | 1.5 | 1.34 | Waived | 2025-12-31 | Annually | Waived | Minimum current ratio of 1.50 to 1.00, tested annually at the 31 December fiscal year end.
  Prairie Ag Holdings LP | COV-000721 | Leverage | 2.5 | 2.11 | Compliant | 2026-06-30 | Quarterly | Compliant | Maximum total funded debt to tangible net worth of 2.50 to 1.00, tested quarterly.
  Prairie Ag Holdings LP | COV-000722 | Collateral Insurance | 80 | 85 | Compliant | 2026-03-12 | Annually | Compliant | Annual evidence of multi peril crop insurance at a coverage level of not less than 80 percent, with the bank named as loss payee.
  Sunbelt Hospitality Group Inc | COV-000705 | Debt Service Coverage of Borrower | 1.3 | 1.34 | Compliant | 2026-06-30 | Quarterly | Compliant | Minimum consolidated Debt Service Coverage Ratio of 1.30x, tested quarterly on a trailing twelve month basis across both properties and the management company.
  Sunbelt Hospitality Group Inc | COV-000706 | Financial Indicators | 70 | 72.1 | Exception | 2026-08-14 | Annually | Exception | Maximum loan to value of 70 percent on each mortgaged property, measured as the first mortgage balance over the most recent lender-approved appraised value, tested annually and on receipt of any new appraisal.
  Sunbelt Hospitality Group Inc | COV-000707 | Coverage - Private Company | 9 | 10.4 | Compliant | 2026-06-30 | Quarterly | Compliant | Minimum debt yield of 9.00 percent, being trailing twelve month net operating income after the FF&E reserve divided by the aggregate outstanding mortgage and term debt secured by the two properties, tested quarterly.
  Sunbelt Hospitality Group Inc | COV-000708 | Sales Report | 118 | 126.4 | Compliant | 2026-07-31 | Monthly | Compliant | Monthly STR report and operating statement for each property within 30 days of month end, with a minimum blended revenue per available room of $118.00 across the two hotels.
