  Blue Ridge Orthopedic Partners PC | COL-000792 | a33bb000000lBWqAAM | 12400000 | Owner-occupied medical office building, 74,000 sq ft on 6.4 acres, built 2014 and expanded 2021. Clinic, imaging suite and the ground floor surgery centre. [C360-SEED-2026-09]
  Hartwell Precision Manufacturing LLC | COL-000762 | a33bb000000lBWZAA2 | 12000000 | All present and future accounts receivable. Excludes invoices over 90 days past due, uninsured foreign debtors, intercompany and contra accounts. 20% concentration cap per account debtor.
  Hartwell Precision Manufacturing LLC | COL-000763 | a33bb000000lBWXAA2 | 8000000 | All present and future inventory at the Fort Wayne and Kokomo plants: raw bar and plate stock, work in process and finished goods. Excludes consigned material and stock over 12 months old.
  Hartwell Precision Manufacturing LLC | COL-000764 | a33bb000000lBWaAAM | 10000000 | Blanket lien on all production machinery and equipment at the Fort Wayne and Kokomo plants, including CNC machining centres, robotic welding cells, heat-treat furnaces and CMM inspection equipment.
  Hartwell Precision Manufacturing LLC | COL-000765 | a33bb000000lBWrAAM | 14000000 | First mortgage on the owner-occupied Fort Wayne manufacturing campus (218,000 sq ft on 22.4 acres) and the Kokomo plant (140,000 sq ft, under expansion).
  Hartwell Precision Manufacturing LLC | COL-000773 | a33bb000000lBWrAAM | 8400000 | Owner-occupied manufacturing plant and office at 1400 Industrial Parkway, Fort Wayne, Indiana 46802. 164,000 sq ft on 14.8 acres.
  Hartwell Precision Manufacturing LLC | COL-000774 | a33bb000000lBWaAAM | 2100000 | Zeiss CONTURA and Hexagon Global S coordinate measuring machines, optical comparators, surface finish analysers and the calibration laboratory.
  Lakeshore Dental Supply Distributors Inc | COL-000822 | a33bb000000lBWZAA2 | 15400000 | First blanket UCC lien on all present and future accounts receivable and proceeds. Gross receivables of $18.9MM at 31 July 2026 less $3.5MM of ineligibles gives an eligible base of $15.4MM. [C360-SEED-2026-09]
  Lakeshore Dental Supply Distributors Inc | COL-000823 | a33bb000000lBWXAA2 | 9200000 | First blanket UCC lien on all inventory. Eligible inventory of $9.2MM at 31 July 2026 after excluding short dated consumables, consigned handpieces and in transit goods. [C360-SEED-2026-09]
  Lakeshore Dental Supply Distributors Inc | COL-000824 | a33bb000000lBWaAAM | 2450000 | Materials handling and warehouse equipment at the Glendale distribution centre and the branch depots: order pickers, reach trucks, conveyor, carton sortation, the pallet racking installed in 2026 and the branch fit out. [C360-SEED-2026-09]
  Lakeshore Dental Supply Distributors Inc | COL-000825 | a33bb000000lBWrAAM | 8200000 | Owner occupied distribution centre and office, 214,000 sq ft on 19.4 acres, with 24 dock doors, a 32 foot clear height and a 2026 racking installation. [C360-SEED-2026-09]
  Lakeshore Dental Supply Distributors Inc | COL-000826 | a33bb000000lBWIAA2 | 1450000 | 48 delivery vans and box trucks running the five state branch routes, model years 2022 to 2026, with the bank noted as first lienholder on every certificate of title. [C360-SEED-2026-09]
  Meridian Coastal Logistics LLC | COL-000786 | a33bb000000lBWZAA2 | 12400000 | First blanket UCC lien on all present and future accounts receivable and proceeds. [C360-SEED-2026-09]
  Meridian Coastal Logistics LLC | COL-000787 | a33bb000000lBWXAA2 | 4100000 | First blanket UCC lien on parts, tyres and bulk fuel inventory. [C360-SEED-2026-09]
  Meridian Coastal Logistics LLC | COL-000788 | a33bb000000lBWaAAM | 6800000 | 72 sleeper and day cab tractors, model years 2021 to 2026, per the equipment schedule. [C360-SEED-2026-09]
  Meridian Coastal Logistics LLC | COL-000789 | a33bb000000lBWaAAM | 4200000 | 140 dry van and refrigerated trailers, model years 2019 to 2026. [C360-SEED-2026-09]
  Meridian Coastal Logistics LLC | COL-000790 | a33bb000000lBWrAAM | 8900000 | Owner-occupied distribution warehouse and office, 196,000 sq ft on 17.2 acres. [C360-SEED-2026-09]
  Meridian Coastal Logistics LLC | COL-000791 | a33bb000000lBWrAAM | 1700000 | Port-adjacent cross-dock facility, 34 doors on 4.1 acres. [C360-SEED-2026-09]
  Northgate Multifamily Investors LLC | COL-000809 | a33bb000000lBWlAAM | 31400000 | 240 unit garden-style apartment community built 2016, stabilised at 95.4 percent occupancy. First deed of trust with an absolute assignment of rents and leases and a lender-held replacement reserve. [C360-SEED-2026-09]
  Northgate Multifamily Investors LLC | COL-000810 | a33bb000000lBWlAAM | 23000000 | 186 unit mid-rise apartment community built 2013, stabilised at 96.1 percent occupancy. First deed of trust with an absolute assignment of rents and leases and a lender-held tax and insurance escrow. [C360-SEED-2026-09]
  Northgate Multifamily Investors LLC | COL-000811 | a33bb000000lBWaAAM | 890000 | 812 kW rooftop photovoltaic array with battery storage and metering across nine buildings at Northgate Crossing, installed November 2025. [C360-SEED-2026-09]
  Northgate Multifamily Investors LLC | COL-000812 | a33bb000000lBWlAAM | 16800000 | 192 unit apartment community built 2004, mid-way through a value-add renovation. Occupancy held at 87 percent while units are off line. First deed of trust with an absolute assignment of rents and a renovation reserve. [C360-SEED-2026-09]
  Prairie Ag Holdings LP | COL-000814 | a33bb000000lBWhAAM | 9200000 | First blanket UCC lien on all growing and harvested crops, crop insurance proceeds and government programme payments. [C360-SEED-2026-09]
  Prairie Ag Holdings LP | COL-000815 | a33bb000000lBWXAA2 | 4300000 | First blanket UCC lien on stored grain inventory and warehouse receipts held at the Nevada elevator and on farm bins. [C360-SEED-2026-09]
  Prairie Ag Holdings LP | COL-000816 | a33bb000000lBWZAA2 | 2600000 | First blanket UCC lien on all accounts, deferred payment contracts and proceeds. [C360-SEED-2026-09]
  Prairie Ag Holdings LP | COL-000817 | a33bb000000lBWeAAM | 3150000 | First UCC lien on the titled and untitled farm equipment schedule: combines, tractors, planters, sprayers, grain carts and tillage. [C360-SEED-2026-09]
  Prairie Ag Holdings LP | COL-000818 | a33bb000000lBWpAAM | 11500000 | First mortgage on 2,400 tillable acres in Story County, Iowa, at a corn suitability rating of 84. [C360-SEED-2026-09]
  Prairie Ag Holdings LP | COL-000819 | a33bb000000lBWpAAM | 3400000 | First mortgage on the second parcel, 680 tillable acres in Boone County, Iowa, at a corn suitability rating of 87. [C360-SEED-2026-09]
  Prairie Ag Holdings LP | COL-000820 | a33bb000000lBWtAAM | 5200000 | First mortgage on the 1.6 million bushel grain elevator, dryer pad, scales and rail loadout at Nevada, Iowa. [C360-SEED-2026-09]
  Prairie Ag Holdings LP | COL-000821 | a33bb000000lBWaAAM | 780000 | First UCC lien on the continuous flow dryer, legs, conveyors and aeration equipment at the Nevada elevator. [C360-SEED-2026-09]
  Sunbelt Hospitality Group Inc | COL-000799 | a33bb000000lBWtAAM | 23500000 | 268 key full service resort hotel on 9.4 acres with conference space, two food and beverage outlets and 310 surface parking spaces. Reappraised August 2026 at $23.5MM, down from $26.0MM at close. [C360-SEED-2026-09]
  Sunbelt Hospitality Group Inc | COL-000800 | a33bb000000lBWaAAM | 3200000 | Guest room case goods, soft goods, lobby and conference furniture, kitchen and laundry equipment and the property management system at the Lakeside hotel, substantially all replaced in the 2025 property improvement plan. [C360-SEED-2026-09]
  Sunbelt Hospitality Group Inc | COL-000801 | a33bb000000lBWtAAM | 20500000 | 218 key select service hotel on 4.8 acres, two miles from Orlando International Airport. Meeting space, shuttle operation and 240 parking spaces. [C360-SEED-2026-09]
  Sunbelt Hospitality Group Inc | COL-000802 | a33bb000000lBWaAAM | 1600000 | Guest room and public space furniture, fixtures and equipment, breakfast kitchen, laundry plant and the two airport shuttle vans at the Airport hotel, financed under the 2024 FF&E note. [C360-SEED-2026-09]
  Sunbelt Hospitality Group Inc | COL-000803 | a33bb000000lBWZAA2 | 4200000 | Blanket lien on the management company: management fee receivables from both property entities, group and corporate accounts receivable, and the assignment of rents from the retail and restaurant leases at both hotels. [C360-SEED-2026-09]
  Sunbelt Hospitality Group Inc | COL-000804 | a33bb000000lBWIAA2 | 1150000 | Six guest shuttle buses, four service vans and the shared back of house equipment fleet, titled to the management company and used across both properties. [C360-SEED-2026-09]
